B	nu	e_para	e_perp
18.59292929292929	115.60606060606061	3.924115076803244e-40	2.3879658049591175e-39
18.793939393939393	115.60606060606061	3.996276178303401e-40	2.430653610135311e-39
18.994949494949495	115.60606060606061	4.068931382725804e-40	2.4736109875675595e-39
19.195959595959597	115.60606060606061	4.142077988409184e-40	2.5168362821048957e-39
19.3969696969697	115.60606060606061	4.21571333038876e-40	2.5603278626216296e-39
19.597979797979797	115.60606060606061	4.2898347795744e-40	2.604084121454237e-39
19.7989898989899	115.60606060606061	4.364439741954384e-40	2.6481034738565958e-39
20.0	115.60606060606061	4.43952565505848e-40	2.6923843571961987e-39
0.1	116.21212121212122	9.779850911564073e-45	9.174679034075752e-44
0.301010101010101	116.21212121212122	1.4779638444957816e-43	1.135508543079177e-42
0.502020202020202	116.21212121212122	4.462132751143323e-43	3.2593841090065065e-42
0.703030303030303	116.21212121212122	8.960255160957727e-43	6.383231426147944e-42
0.9040404040404041	116.21212121212122	1.4899471992942788e-42	1.0447529441453597e-41
1.105050505050505	116.21212121212122	2.221957207957411e-42	1.540422435091397e-41
1.3060606060606061	116.21212121212122	3.0869136497077535e-42	2.1212920552306693e-41
1.507070707070707	116.21212121212122	4.0803245960158313e-42	2.7838784076796764e-41
1.708080808080808	116.21212121212122	5.198201043441806e-42	3.5251229830968174e-41
1.9090909090909092	116.21212121212122	6.436956335207986e-42	4.3423034486554496e-41
2.11010101010101	116.21212121212122	7.793333932471475e-42	5.232970479825293e-41
2.311111111111111	116.21212121212122	9.264353081254537e-42	6.19490100962189e-41
2.512121212121212	116.21212121212122	1.0847268092724112e-41	7.226062645051482e-41
2.713131313131313	116.21212121212122	1.2539534773673382e-41	8.324585756181812e-41
2.914141414141414	116.21212121212122	1.433878488658751e-41	9.488741368352321e-41
3.1151515151515152	116.21212121212122	1.6242804486961255e-41	1.0716923173328047e-40
3.316161616161616	116.21212121212122	1.8249516479662745e-41	1.2007632795656341e-40
3.5171717171717174	116.21212121212122	2.0356965572822216e-41	1.3359467491949729e-40
3.7181818181818183	116.21212121212122	2.2563305792804902e-41	1.4771109831434726e-40
3.919191919191919	116.21212121212122	2.486679035814123e-41	1.6241318988624749e-40
4.12020202020202	116.21212121212122	2.7265761090622386e-41	1.7768923101309774e-40
4.321212121212121	116.21212121212122	2.975864265149374e-41	1.9352813018900313e-40
4.522222222222222	116.21212121212122	3.234393280834727e-41	2.099193640267583e-40
4.723232323232323	116.21212121212122	3.502019926304517e-41	2.268529310536555e-40
4.924242424242424	116.21212121212122	3.778607123566151e-41	2.4431930549256428e-40
5.125252525252526	116.21212121212122	4.06402372943082e-41	2.6230940170915075e-40
5.3262626262626265	116.21212121212122	4.3581439980085085e-41	2.808145392160731e-40
5.527272727272727	116.21212121212122	4.660847209554806e-41	2.9982641256222434e-40
5.728282828282828	116.21212121212122	4.972017163971784e-41	3.1933706264325313e-40
